=== 个性化信任共识模型 - 多次仿真汇总 ===

仿真总数: 500
成功仿真数: 500

各仿真关键指标:
仿真编号 | 反馈次数 | 是否收敛 | 平均共识度 | 决策者分类
 133 |      1 |    是     |   0.9229 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 134 |      0 |    是     |   0.9167 | {'Con': [2, 3, 4], 'Neu': [0], 'Rad': [1]}
 135 |      1 |    是     |   0.9341 | {'Con': [1, 2, 3], 'Neu': [4], 'Rad': [0]}
 136 |      0 |    是     |   0.9350 | {'Con': [0, 3, 4], 'Neu': [2], 'Rad': [1]}
 137 |      2 |    是     |   0.9185 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 138 |      0 |    是     |   0.9215 | {'Con': [0, 2, 3, 4], 'Neu': [], 'Rad': [1]}
 139 |      0 |    是     |   0.9467 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 140 |      1 |    是     |   0.9235 | {'Con': [0, 2, 3, 4], 'Neu': [], 'Rad': [1]}
 141 |      1 |    是     |   0.9064 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 142 |      0 |    是     |   0.9323 | {'Con': [0, 2, 3], 'Neu': [], 'Rad': [1, 4]}
 143 |      1 |    是     |   0.9275 | {'Con': [0, 2, 3, 4], 'Neu': [], 'Rad': [1]}
 144 |      1 |    是     |   0.9221 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 145 |      0 |    是     |   0.9113 | {'Con': [0, 1, 2, 3], 'Neu': [4], 'Rad': []}
 146 |      0 |    是     |   0.9283 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 147 |      3 |    是     |   0.9262 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 148 |      0 |    是     |   0.9322 | {'Con': [0, 1, 2], 'Neu': [3], 'Rad': [4]}
 149 |      3 |    是     |   0.9200 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 150 |      1 |    是     |   0.9323 | {'Con': [0, 1, 2, 4], 'Neu': [3], 'Rad': []}
 151 |      4 |    是     |   0.9327 | {'Con': [0, 2, 3, 4], 'Neu': [], 'Rad': [1]}
 152 |      1 |    是     |   0.9246 | {'Con': [0, 1, 3, 4], 'Neu': [], 'Rad': [2]}
 153 |      0 |    是     |   0.9157 | {'Con': [0, 2, 3], 'Neu': [], 'Rad': [1, 4]}
 154 |      2 |    是     |   0.9362 | {'Con': [0, 1, 2, 4], 'Neu': [3], 'Rad': []}
 155 |      0 |    是     |   0.9335 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 156 |      1 |    是     |   0.9376 | {'Con': [0, 1, 2, 4], 'Neu': [], 'Rad': [3]}
 157 |      3 |    是     |   0.9416 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 158 |      0 |    是     |   0.9242 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 159 |      1 |    是     |   0.9287 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 160 |      1 |    是     |   0.9499 | {'Con': [0, 1, 3], 'Neu': [], 'Rad': [2, 4]}
 161 |      0 |    是     |   0.9154 | {'Con': [1, 3], 'Neu': [2], 'Rad': [0, 4]}
 162 |      0 |    是     |   0.9352 | {'Con': [0, 1, 2, 4], 'Neu': [3], 'Rad': []}
 163 |      0 |    是     |   0.9447 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 164 |      0 |    是     |   0.9209 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 165 |      1 |    是     |   0.9362 | {'Con': [0, 1, 2, 3], 'Neu': [], 'Rad': [4]}
 166 |      0 |    是     |   0.9217 | {'Con': [2, 3, 4], 'Neu': [1], 'Rad': [0]}
 167 |      1 |    是     |   0.9325 | {'Con': [0, 1, 4], 'Neu': [3], 'Rad': [2]}
 168 |      1 |    是     |   0.9234 | {'Con': [0, 1, 2, 3], 'Neu': [], 'Rad': [4]}
 169 |      0 |    是     |   0.9154 | {'Con': [0, 3, 4], 'Neu': [1], 'Rad': [2]}
 170 |      1 |    是     |   0.9221 | {'Con': [0, 1, 3], 'Neu': [], 'Rad': [2, 4]}
 171 |      2 |    是     |   0.9413 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 172 |      1 |    是     |   0.9214 | {'Con': [0, 1, 2, 3], 'Neu': [], 'Rad': [4]}
 173 |      1 |    是     |   0.9418 | {'Con': [0, 1, 2, 4], 'Neu': [], 'Rad': [3]}
 174 |      0 |    是     |   0.9252 | {'Con': [0, 1, 3, 4], 'Neu': [2], 'Rad': []}
 175 |      1 |    是     |   0.9158 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 176 |      1 |    是     |   0.9456 | {'Con': [0, 2, 4], 'Neu': [1], 'Rad': [3]}
 177 |      2 |    是     |   0.9259 | {'Con': [1, 2, 3, 4], 'Neu': [0], 'Rad': []}
 178 |      0 |    是     |   0.9200 | {'Con': [0, 2, 4], 'Neu': [], 'Rad': [1, 3]}
 179 |      1 |    是     |   0.9310 | {'Con': [2, 3], 'Neu': [0, 1, 4], 'Rad': []}
 180 |      0 |    是     |   0.9180 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 181 |      1 |    是     |   0.9075 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 182 |      3 |    是     |   0.9256 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 183 |      3 |    是     |   0.9446 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 184 |      1 |    是     |   0.9321 | {'Con': [0, 2, 3, 4], 'Neu': [], 'Rad': [1]}
 185 |      1 |    是     |   0.9372 | {'Con': [1, 3], 'Neu': [], 'Rad': [0, 2, 4]}
 186 |      2 |    是     |   0.9145 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 187 |      3 |    是     |   0.9201 | {'Con': [0, 2, 3, 4], 'Neu': [], 'Rad': [1]}
 188 |      0 |    是     |   0.9309 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 189 |      1 |    是     |   0.9270 | {'Con': [0, 1, 2, 4], 'Neu': [], 'Rad': [3]}
 190 |      2 |    是     |   0.9231 | {'Con': [0, 2, 3, 4], 'Neu': [], 'Rad': [1]}
 191 |      0 |    是     |   0.9085 | {'Con': [0, 1, 2, 4], 'Neu': [3], 'Rad': []}
 192 |      1 |    是     |   0.9503 | {'Con': [0, 1, 2], 'Neu': [4], 'Rad': [3]}
 193 |      1 |    是     |   0.9277 | {'Con': [0, 1, 4], 'Neu': [3], 'Rad': [2]}
 194 |      0 |    是     |   0.9394 | {'Con': [1, 2, 4], 'Neu': [3], 'Rad': [0]}
 195 |      1 |    是     |   0.9140 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 196 |      0 |    是     |   0.9226 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 197 |      1 |    是     |   0.9169 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 198 |      0 |    是     |   0.9415 | {'Con': [0, 3, 4], 'Neu': [2], 'Rad': [1]}
 199 |      0 |    是     |   0.9201 | {'Con': [0, 2, 3, 4], 'Neu': [], 'Rad': [1]}
 200 |      0 |    是     |   0.9194 | {'Con': [0, 1, 4], 'Neu': [2], 'Rad': [3]}
 201 |      0 |    是     |   0.9355 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 202 |      0 |    是     |   0.9203 | {'Con': [0, 3, 4], 'Neu': [2], 'Rad': [1]}
 203 |      0 |    是     |   0.9290 | {'Con': [0, 1, 3], 'Neu': [2], 'Rad': [4]}
 204 |      3 |    是     |   0.9386 | {'Con': [0, 3, 4], 'Neu': [1], 'Rad': [2]}
 205 |      0 |    是     |   0.9216 | {'Con': [0, 1, 2, 3], 'Neu': [4], 'Rad': []}
 206 |      1 |    是     |   0.9303 | {'Con': [0, 1, 3, 4], 'Neu': [2], 'Rad': []}
 207 |      0 |    是     |   0.9330 | {'Con': [0, 2, 3, 4], 'Neu': [], 'Rad': [1]}
 208 |      2 |    是     |   0.9340 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 209 |      0 |    是     |   0.9191 | {'Con': [0, 1, 2, 3], 'Neu': [], 'Rad': [4]}
 210 |      1 |    是     |   0.9132 | {'Con': [0, 2, 3, 4], 'Neu': [], 'Rad': [1]}
 211 |      0 |    是     |   0.9321 | {'Con': [1, 2, 3, 4], 'Neu': [0], 'Rad': []}
 212 |      0 |    是     |   0.9284 | {'Con': [1, 2, 3, 4], 'Neu': [0], 'Rad': []}
 213 |      0 |    是     |   0.9137 | {'Con': [0, 1, 4], 'Neu': [2, 3], 'Rad': []}
 214 |      0 |    是     |   0.9259 | {'Con': [1, 2, 3, 4], 'Neu': [0], 'Rad': []}
 215 |      2 |    是     |   0.9324 | {'Con': [2, 4], 'Neu': [0], 'Rad': [1, 3]}
 216 |      0 |    是     |   0.9256 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
