=== 个性化信任共识模型 - 多次仿真汇总 ===

仿真总数: 500
成功仿真数: 500

各仿真关键指标:
仿真编号 | 反馈次数 | 是否收敛 | 平均共识度 | 决策者分类
  82 |      1 |    是     |   0.9168 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  83 |      0 |    是     |   0.9213 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  84 |      0 |    是     |   0.9434 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  85 |      1 |    是     |   0.9283 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  86 |      1 |    是     |   0.9183 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  87 |      1 |    是     |   0.9314 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  88 |      1 |    是     |   0.9314 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  89 |      0 |    是     |   0.9332 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  90 |      9 |    是     |   0.9356 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  91 |      1 |    是     |   0.9274 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  92 |      2 |    是     |   0.9309 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  93 |      0 |    是     |   0.9224 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  94 |      0 |    是     |   0.9322 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  95 |      1 |    是     |   0.9256 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  96 |      0 |    是     |   0.9323 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  97 |      0 |    是     |   0.9369 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  98 |      0 |    是     |   0.9325 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  99 |      1 |    是     |   0.9277 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 100 |      1 |    是     |   0.9242 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 101 |      0 |    是     |   0.9187 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 102 |      2 |    是     |   0.9218 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 103 |      1 |    是     |   0.9247 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 104 |      0 |    是     |   0.9196 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 105 |      1 |    是     |   0.9206 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 106 |      0 |    是     |   0.9173 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 107 |      1 |    是     |   0.9249 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 108 |      0 |    是     |   0.9281 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 109 |      0 |    是     |   0.9115 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 110 |      2 |    是     |   0.9306 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 111 |      1 |    是     |   0.9264 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 112 |      0 |    是     |   0.9123 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 113 |      3 |    是     |   0.9331 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 114 |      0 |    是     |   0.9267 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 115 |      0 |    是     |   0.9351 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 116 |      1 |    是     |   0.9267 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 117 |      3 |    是     |   0.9328 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 118 |      1 |    是     |   0.9216 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 119 |      1 |    是     |   0.9312 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 120 |      0 |    是     |   0.9569 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 121 |      0 |    是     |   0.9358 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 122 |      0 |    是     |   0.9197 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 123 |      1 |    是     |   0.9349 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 124 |      0 |    是     |   0.9432 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 125 |      0 |    是     |   0.9286 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 126 |      0 |    是     |   0.9270 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 127 |      2 |    是     |   0.9283 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 128 |      1 |    是     |   0.9361 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 129 |      3 |    是     |   0.9261 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 130 |      3 |    是     |   0.9246 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 131 |      0 |    是     |   0.9187 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 132 |      0 |    是     |   0.9263 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 133 |      1 |    是     |   0.9315 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 134 |      0 |    是     |   0.9167 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 135 |      1 |    是     |   0.9267 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 136 |      0 |    是     |   0.9350 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 137 |      2 |    是     |   0.9271 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 138 |      0 |    是     |   0.9215 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 139 |      0 |    是     |   0.9467 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 140 |      1 |    是     |   0.9272 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 141 |      1 |    是     |   0.9089 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 142 |      0 |    是     |   0.9323 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 143 |      2 |    是     |   0.9259 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 144 |      1 |    是     |   0.9238 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 145 |      0 |    是     |   0.9113 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 146 |      0 |    是     |   0.9283 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 147 |      1 |    是     |   0.9334 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 148 |      0 |    是     |   0.9322 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 149 |      4 |    是     |   0.9337 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 150 |      1 |    是     |   0.9382 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 151 |      3 |    是     |   0.9331 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 152 |      2 |    是     |   0.9184 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 153 |      0 |    是     |   0.9157 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 154 |      2 |    是     |   0.9377 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 155 |      0 |    是     |   0.9335 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 156 |      4 |    是     |   0.9381 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 157 |      2 |    是     |   0.9361 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 158 |      0 |    是     |   0.9242 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 159 |      1 |    是     |   0.9277 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 160 |      1 |    是     |   0.9284 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 161 |      0 |    是     |   0.9154 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 162 |      0 |    是     |   0.9352 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 163 |      0 |    是     |   0.9447 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 164 |      0 |    是     |   0.9209 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 165 |      2 |    是     |   0.9301 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 166 |      0 |    是     |   0.9217 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 167 |      2 |    是     |   0.9255 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 168 |      1 |    是     |   0.9217 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 169 |      0 |    是     |   0.9154 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 170 |      1 |    是     |   0.9214 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 171 |      1 |    是     |   0.9435 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 172 |      3 |    是     |   0.9154 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 173 |      2 |    是     |   0.9322 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 174 |      0 |    是     |   0.9252 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 175 |      1 |    是     |   0.9220 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 176 |      1 |    是     |   0.9235 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 177 |      2 |    是     |   0.9248 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 178 |      0 |    是     |   0.9200 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 179 |      1 |    是     |   0.9287 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 180 |      0 |    是     |   0.9180 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 181 |      1 |    是     |   0.9218 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 182 |      2 |    是     |   0.9215 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 183 |      1 |    是     |   0.9406 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 184 |      2 |    是     |   0.9325 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 185 |      2 |    是     |   0.9217 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 186 |      2 |    是     |   0.9213 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 187 |      4 |    是     |   0.9281 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 188 |      0 |    是     |   0.9309 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 189 |      1 |    是     |   0.9193 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 190 |      1 |    是     |   0.9240 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 191 |      0 |    是     |   0.9085 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 192 |      1 |    是     |   0.9398 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 193 |      1 |    是     |   0.9274 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 194 |      0 |    是     |   0.9394 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 195 |      1 |    是     |   0.9287 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 196 |      0 |    是     |   0.9226 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 197 |      1 |    是     |   0.9139 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 198 |      0 |    是     |   0.9415 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 199 |      0 |    是     |   0.9201 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 200 |      0 |    是     |   0.9194 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 201 |      0 |    是     |   0.9355 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 202 |      0 |    是     |   0.9203 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 203 |      0 |    是     |   0.9290 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 204 |      4 |    是     |   0.9413 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 205 |      0 |    是     |   0.9216 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 206 |      1 |    是     |   0.9289 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 207 |      0 |    是     |   0.9330 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 208 |      1 |    是     |   0.9315 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 209 |      0 |    是     |   0.9191 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 210 |      1 |    是     |   0.9188 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 211 |      0 |    是     |   0.9321 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 212 |      0 |    是     |   0.9284 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 213 |      0 |    是     |   0.9137 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 214 |      0 |    是     |   0.9259 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 215 |      2 |    是     |   0.9277 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 216 |      0 |    是     |   0.9256 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 217 |      0 |    是     |   0.9257 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 218 |      0 |    是     |   0.9276 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 219 |      1 |    是     |   0.9263 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 220 |      0 |    是     |   0.9297 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 221 |      0 |    是     |   0.9212 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 222 |      2 |    是     |   0.9256 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 223 |      0 |    是     |   0.9149 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 224 |      0 |    是     |   0.9301 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 225 |      0 |    是     |   0.9130 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 226 |      1 |    是     |   0.9257 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 227 |      2 |    是     |   0.9124 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 228 |      1 |    是     |   0.9234 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 229 |      0 |    是     |   0.9224 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 230 |      0 |    是     |   0.9246 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 231 |      0 |    是     |   0.9225 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 232 |      2 |    是     |   0.9235 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 233 |      0 |    是     |   0.9083 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 234 |      1 |    是     |   0.9232 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 235 |      1 |    是     |   0.9229 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 236 |      0 |    是     |   0.9286 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 237 |      0 |    是     |   0.9359 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 238 |      4 |    是     |   0.9275 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 239 |      2 |    是     |   0.9166 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 240 |      0 |    是     |   0.9379 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 241 |      0 |    是     |   0.9189 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 242 |      0 |    是     |   0.9228 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 243 |      0 |    是     |   0.9458 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 244 |      2 |    是     |   0.9326 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 245 |      0 |    是     |   0.9299 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 246 |      1 |    是     |   0.9182 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 247 |      0 |    是     |   0.9166 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 248 |      1 |    是     |   0.9265 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 249 |      0 |    是     |   0.9100 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
