run_id,initial_consensus,final_consensus,crp_iterations,consensus_improvement,weight_scheme_1,weight_scheme_2,weight_scheme_3,weight_scheme_4,weight_scheme_5,weight_scheme_6,ranking,dm_weight_1,dm_weight_2,dm_weight_3,dm_weight_4,dm_weight_5
17,0.9104459987831122,0.9104459987831122,0,0.0,0.14004483234027715,0.26439442760367415,0.21300658060863337,0.1274095775679868,0.11322272673757476,0.14192185514185388,"[2, 3, 6, 1, 4, 5]",0.28013279809435854,0.23892936396914924,0.19771568304903805,0.14595773402311354,0.13726442086434062
18,0.917807781048833,0.917807781048833,0,0.0,0.12925599773984522,0.26007116430765836,0.21626994989222498,0.14288222876251278,0.10328939457316755,0.14823126472459108,"[2, 3, 6, 4, 1, 5]",0.2783567058372014,0.23799314385410028,0.199470106507736,0.14668468815377114,0.13749535564719123
19,0.9218733092375765,0.9218733092375765,0,0.0,0.14442200466688127,0.2760247623955447,0.22111670336519051,0.12042273235968955,0.11026200620551616,0.12775179100717782,"[2, 3, 1, 6, 4, 5]",0.27855140926220945,0.2382555767624831,0.19911940095370356,0.14679980646336405,0.1372738065582398
20,0.9392325776169445,0.9392325776169445,0,0.0,0.12169701716646981,0.24146187578840606,0.2155762820624533,0.1493914091982898,0.11356976633027516,0.1583036494541058,"[2, 3, 6, 4, 1, 5]",0.280228921147133,0.23587197514434,0.19874977533624305,0.14673686058908328,0.13841246778320054
21,0.9219387722352406,0.9219387722352406,0,0.0,0.12440909371796346,0.25764084978172874,0.22017086776802966,0.13980210982020574,0.11761069106261565,0.14036638784945668,"[2, 3, 6, 4, 1, 5]",0.2795963458656178,0.2360241330386825,0.19945907857527234,0.14689088046242416,0.13802956205800318
22,0.9265017666333075,0.9265017666333075,0,0.0,0.12687590480291136,0.27951202904604083,0.19971856262174653,0.14100469506538055,0.0987835880091436,0.15410522045477715,"[2, 3, 6, 4, 1, 5]",0.2790865133524576,0.23713390404232107,0.19912183062508323,0.14667715525857988,0.13798059672155827
23,0.950532174443018,0.950532174443018,0,0.0,0.12842294875895596,0.29414971862327655,0.19265821166953545,0.13143376657612385,0.1088660379984107,0.1444693163736976,"[2, 3, 6, 4, 1, 5]",0.28081340475498023,0.23607621161204687,0.19802033660141508,0.14676792196095434,0.13832212507060357
24,0.927227370516031,0.927227370516031,0,0.0,0.1378876834451556,0.2555585309122103,0.22455280340402684,0.13446351167809664,0.10097970305126137,0.1465577675092494,"[2, 3, 6, 1, 4, 5]",0.2804576364081868,0.23590843290254368,0.19890566873904156,0.14664725835628795,0.13808100359394007
25,0.9343719278087342,0.9343719278087342,0,0.0,0.14071703151083043,0.2756257737689188,0.1952945568700009,0.10804493599297776,0.11504499857305278,0.16527270328421942,"[2, 3, 6, 1, 5, 4]",0.27983063546170883,0.23643218547851977,0.20084177461036384,0.14545584579290854,0.13743955865649907
26,0.9342783226597458,0.9342783226597458,0,0.0,0.15704462491040994,0.26207337416699983,0.22145221216364705,0.1378589032480101,0.09905903518193106,0.12251185032900201,"[2, 3, 1, 4, 6, 5]",0.2798826919156279,0.23685020432212742,0.1985155321541712,0.14682750962946847,0.13792406197860496
27,0.9490471701541479,0.9490471701541479,0,0.0,0.13993517232118524,0.24624896657455922,0.22058389264171313,0.12782504508064185,0.12546827015436862,0.13993865322753196,"[2, 3, 6, 1, 4, 5]",0.2799864654785872,0.23703438064321353,0.19855828780739823,0.14657147671838333,0.13784938935241775
28,0.9470475300531769,0.9470475300531769,0,0.0,0.12341658326270326,0.2731965240163995,0.22403282899002183,0.1403804933236701,0.10804771957480845,0.13092585083239702,"[2, 3, 4, 6, 1, 5]",0.2804099912673199,0.2366709910569498,0.1986338699614606,0.14638162229762536,0.1379035254166444
29,0.9325117861113945,0.9325117861113945,0,0.0,0.13803544480758825,0.26960337601770556,0.22086473375640933,0.14903198260889597,0.09903201497196709,0.1234324478374338,"[2, 3, 4, 1, 6, 5]",0.27934980244931557,0.23696726008664168,0.1997656731654355,0.14622295718107553,0.13769430711753167
30,0.9228401782443106,0.9228401782443106,0,0.0,0.14478090886529194,0.2959697682803418,0.19655761449558407,0.13288280105102535,0.08712321080920182,0.14268569649855495,"[2, 3, 1, 6, 4, 5]",0.2800034198163871,0.23691883440552042,0.19910993623674064,0.14634964850161125,0.13761816103974056
31,0.9422113839279085,0.9422113839279085,0,0.0,0.15064509125464376,0.2839183610236998,0.21305050964771652,0.13580328666266872,0.10097058453049283,0.1156121668807786,"[2, 3, 1, 4, 6, 5]",0.2802633104406164,0.2374708223667667,0.198160447311118,0.14653273235448094,0.137572687527018
32,0.9056245080583704,0.9056245080583704,0,0.0,0.11825587700394512,0.2880470274436247,0.1973154126468857,0.12388554554487119,0.10007156473832884,0.1724245726223445,"[2, 3, 6, 4, 1, 5]",0.28157888046005325,0.23327754717745897,0.2010688809484631,0.14604802599903524,0.13802666541498954
33,0.9328097491278389,0.9328097491278389,0,0.0,0.1382293467513577,0.2728445059001201,0.19863402946213926,0.1492475823131642,0.10693109818020918,0.13411343739300957,"[2, 3, 4, 1, 6, 5]",0.2791648313286228,0.23717248789622192,0.19907028038256389,0.14687436048619212,0.13771803990639933
34,0.9545119313822139,0.9545119313822139,0,0.0,0.11915998664196643,0.300781612516134,0.19788956733057395,0.13926803775296642,0.12400958715386767,0.11889120860449147,"[2, 3, 4, 5, 1, 6]",0.2807118508498817,0.23630579461815693,0.19837443934508575,0.14660107835836222,0.13800683682851336
35,0.9107800016208705,0.9107800016208705,0,0.0,0.14828228649201136,0.2560297066791545,0.22012232267571846,0.11595870546826055,0.11359749414571542,0.14600948453913976,"[2, 3, 1, 6, 4, 5]",0.27865577189459206,0.23835921748423639,0.1997730944281427,0.14601736063525297,0.1371945555577759
36,0.9447243552523509,0.9447243552523509,0,0.0,0.10497992195709688,0.2760477378943867,0.2499754664786977,0.14505754311307553,0.1029987473774149,0.12094058317932828,"[2, 3, 4, 6, 1, 5]",0.2801177466581365,0.23748122834583504,0.19891503693377052,0.14601735234856536,0.13746863571369247
37,0.9409081416774636,0.9409081416774636,0,0.0,0.14376801351968313,0.27059649618937026,0.20301687675466243,0.13288519706203678,0.107389942938568,0.14234347353567944,"[2, 3, 1, 6, 4, 5]",0.27953198840390014,0.23630860424198077,0.19962221511927963,0.14673019603933404,0.13780699619550543
38,0.9275140940404242,0.9275140940404242,0,0.0,0.13100627828475886,0.24101291498220234,0.21663022674376864,0.1392839269082661,0.12572957531149112,0.14633707776951294,"[2, 3, 6, 4, 1, 5]",0.2804348426619701,0.23603248724679596,0.19894594087540193,0.14656688857910252,0.13801984063672942
39,0.9161363153539723,0.9161363153539723,0,0.0,0.1451900950445294,0.2538763971352837,0.1847657079381208,0.13227507080466538,0.12080877707133618,0.16308395200606468,"[2, 3, 6, 1, 4, 5]",0.2794376824968228,0.23574706453017633,0.20075953654980627,0.1462972475728045,0.1377584688503902
40,0.9199978339980313,0.9199978339980313,0,0.0,0.15312190977184303,0.28603023336724687,0.2125346145454011,0.13881034188229693,0.09670939713241707,0.11279350330079486,"[2, 3, 1, 4, 6, 5]",0.27882093093218113,0.23918045818192266,0.19889955330778877,0.1460485365225857,0.13705052105552157
41,0.933852130131814,0.933852130131814,0,0.0,0.1245042926541892,0.27378818045583436,0.2214991887415739,0.15770674573982255,0.08705994479059599,0.13544164761798397,"[2, 3, 4, 6, 1, 5]",0.27980037722343515,0.23648661526701464,0.19855321869966683,0.1470978059014656,0.1380619829084177
42,0.9287209091848515,0.9287209091848515,0,0.0,0.12208586081778822,0.27829397394344685,0.21469820786921204,0.11849480453018592,0.10357370149698814,0.16285345134237894,"[2, 3, 6, 1, 4, 5]",0.2807566037322955,0.23742301971872842,0.19733029214954337,0.14670404977212817,0.13778603462730452
43,0.9361145982051218,0.9361145982051218,0,0.0,0.16577264298283473,0.26929274424784666,0.21733366009183053,0.11782674802518303,0.10295694870559016,0.12681725594671503,"[2, 3, 1, 6, 4, 5]",0.2796897207468807,0.2364560995951036,0.19886962175737555,0.1469130111260234,0.13807154677461683
44,0.9230569172283888,0.9230569172283888,0,0.0,0.14050980479850234,0.25001721750113726,0.22659637780769726,0.11911286797148152,0.126751307706965,0.13701242421421664,"[2, 3, 1, 6, 5, 4]",0.279913555333168,0.23653410837457917,0.19879540023045283,0.14691967494835717,0.13783726111344285
45,0.9225160088806388,0.9225160088806388,0,0.0,0.13849656558567627,0.26057736690974037,0.22743531318183308,0.1350307947738965,0.10471623939152888,0.13374372015732486,"[2, 3, 1, 4, 6, 5]",0.2792012993033102,0.23605119710015673,0.20147936615527243,0.14589843419245047,0.13736970324881018
